"","level_2_id","level_2_name","level_3_id","level_3_name","periods","line","value"
"1","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","ABC + 3TC + EFV",0
"2","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","ABC + 3TC + LPV/r",0
"3","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","ABC + 3TC + NVP",0
"4","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","AZT + 3TC + LPV/r",0
"5","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","AZT+3TC+ EFV",41
"6","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","AZT+3TC+NVP",13
"7","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","TDF + 3TC + LPV/r",0
"8","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","TDF + FTC + NVP",0
"9","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","TDF+ FTC + EFV",0
"10","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","TDF+3TC+EFV",378
"11","an1cK6GbbVw","lm Lomami Province","Ca5EitY4zzl","lm Mulumba Zone de Santé","201807","TDF+3TC+NVP",0
"12","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","ABC + 3TC + EFV",0
"13","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","ABC + 3TC + LPV/r",0
"14","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","ABC + 3TC + NVP",0
"15","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","AZT + 3TC + LPV/r",0
"16","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","AZT+3TC+ EFV",0
"17","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","AZT+3TC+NVP",6
"18","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","TDF + 3TC + LPV/r",0
"19","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","TDF + FTC + NVP",0
"20","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","TDF+ FTC + EFV",0
"21","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","TDF+3TC+EFV",104
"22","an1cK6GbbVw","lm Lomami Province","gYjfhzYH5ra","lm Luputa Zone de Santé","201808","TDF+3TC+NVP",0
"23","an1cK6GbbVw","lm Lomami Province","HDHPGpYow9n","lm Kalonda Est Zone de Santé","201708","ABC + 3TC + EFV",0
"24","an1cK6GbbVw","lm Lomami Province","HDHPGpYow9n","lm Kalonda Est Zone de Santé","201708","ABC + 3TC + LPV/r",0
"25","an1cK6GbbVw","lm Lomami Province","HDHPGpYow9n","lm Kalonda Est Zone de Santé","201708","ABC + 3TC + NVP",0
"26","an1cK6GbbVw","lm Lomami Province","HDHPGpYow9n","lm Kalonda Est Zone de Santé","201708","AZT + 3TC + LPV/r",0
"27","an1cK6GbbVw","lm Lomami Province","HDHPGpYow9n","lm Kalonda Est Zone de Santé","201708","AZT+3TC+ EFV",0
"28","an1cK6GbbVw","lm Lomami Province","HDHPGpYow9n","lm Kalonda Est Zone de Santé","201708","AZT+3TC+NVP",1
"29","an1cK6GbbVw","lm Lomami Province","HDHPGpYow9n","lm Kalonda Est Zone de Santé","201708","TDF + 3TC + LPV/r",0
"30","an1cK6GbbVw","lm Lomami Province","HDHPGpYow9n","lm Kalonda Est Zone de Santé","201708","TDF + FTC + NVP",0
"31","an1cK6GbbVw","lm Lomami Province","HDHPGpYow9n","lm Kalonda Est Zone de Santé","201708","TDF+ FTC + EFV",0
